data,cliente_id,produto,categoria,estado,quantidade,preco,faturamento
2024-08-11,3663,Mesa,Casa,RJ,1,4552.81,4552.81
2025-07-14,1950,Fone,Eletrônicos,BA,2,3756.05,7512.1
2025-06-08,3881,Mouse,Eletrônicos,SC,1,1218.68,1218.68
2024-12-09,4021,Mesa,Casa,RS,4,2350.2,9400.8
2025-12-15,4503,Cadeira,Casa,RS,4,764.0,3056.0
2024-11-23,4905,Mesa,Casa,PR,4,2671.44,10685.76
2024-10-13,4474,Mouse,Eletrônicos,BA,1,2705.92,2705.92
2025-09-03,3714,Monitor,Eletrônicos,SP,2,3808.96,7617.92
2023-04-26,1331,Celular,Eletrônicos,MG,3,3529.77,10589.31
2023-01-20,2959,Notebook,Eletrônicos,RJ,5,3182.59,15912.95
2023-03-25,1512,Mouse,Eletrônicos,BA,3,2874.42,8623.26
2024-12-27,3162,Notebook,Eletrônicos,RS,4,2934.1,11736.4
2024-06-29,1016,Cadeira,Casa,PR,1,738.55,738.55
2024-08-29,2666,Monitor,Eletrônicos,SP,2,825.64,1651.28
2025-03-07,3338,Teclado,Eletrônicos,RJ,2,4842.08,9684.16
2023-11-26,2436,Mouse,Eletrônicos,RS,3,1014.82,3044.46
2024-09-05,3033,Fone,Eletrônicos,MG,5,84.89,424.45
2024-09-19,3279,Mesa,Casa,RJ,1,4983.2,4983.2
2024-10-28,2745,Fone,Eletrônicos,RS,3,4169.17,12507.51
2023-12-22,2885,Mesa,Casa,PR,2,4272.93,8545.86
2025-02-15,3106,Mouse,Eletrônicos,RJ,3,397.22,1191.66
2025-08-02,2026,Monitor,Eletrônicos,RS,2,887.15,1774.3
2024-05-10,3389,Notebook,Eletrônicos,PR,1,1292.61,1292.61
2023-08-05,4502,Teclado,Eletrônicos,PR,3,550.74,1652.22
2023-12-26,1500,Fone,Eletrônicos,PR,2,632.0,1264.0
2024-12-19,1089,Monitor,Eletrônicos,RJ,5,2048.21,10241.05
2023-12-21,3349,Mouse,Eletrônicos,RJ,1,2834.71,2834.71
2024-06-24,4181,Teclado,Eletrônicos,BA,4,4286.14,17144.56
2024-04-23,2051,Cadeira,Casa,PR,4,3729.52,14918.08
2025-09-06,3285,Mouse,Eletrônicos,RJ,3,3858.87,11576.61
2025-06-01,3535,Cadeira,Casa,SP,3,1501.15,4503.450000000001
2024-03-25,2123,Teclado,Eletrônicos,RS,5,4363.88,21819.4
2024-07-24,1012,Celular,Eletrônicos,SP,4,4168.13,16672.52
2025-05-01,3786,Monitor,Eletrônicos,SP,5,1045.21,5226.05
2023-06-17,4714,Teclado,Eletrônicos,SP,5,2301.65,11508.25
2023-07-05,3664,Monitor,Eletrônicos,MG,5,1288.33,6441.65
2023-01-18,4783,Notebook,Eletrônicos,MG,4,4942.98,19771.92
2025-05-15,4122,Fone,Eletrônicos,RS,3,4606.2,13818.599999999999
2024-05-29,3543,Cadeira,Casa,PR,2,3551.68,7103.36
2023-08-26,4602,Teclado,Eletrônicos,PR,3,4755.1,14265.300000000001
2023-03-13,4103,Celular,Eletrônicos,MG,5,2328.35,11641.75
2025-04-30,3862,Mouse,Eletrônicos,RS,5,3152.26,15761.300000000001
2025-12-07,4981,Fone,Eletrônicos,SC,2,1688.84,3377.68
2023-04-10,4357,Fone,Eletrônicos,SP,2,4049.22,8098.44
2024-05-15,3989,Notebook,Eletrônicos,SC,4,2319.1,9276.4
2025-03-29,2963,Mouse,Eletrônicos,MG,4,3068.21,12272.84
2024-06-19,3285,Monitor,Eletrônicos,PR,4,1589.27,6357.08
2023-12-29,2731,Fone,Eletrônicos,BA,1,3851.64,3851.64
2025-07-01,2645,Mesa,Casa,RJ,2,4479.7,8959.4
2025-01-14,1779,Teclado,Eletrônicos,RJ,4,4555.72,18222.88
2024-07-28,1894,Monitor,Eletrônicos,RS,4,3972.63,15890.52
2024-06-22,4465,Teclado,Eletrônicos,SC,5,1093.12,5465.599999999999
2025-05-30,3119,Monitor,Eletrônicos,SC,1,4386.19,4386.19
2024-01-05,1265,Teclado,Eletrônicos,RJ,3,4039.15,12117.45
2024-05-03,4127,Notebook,Eletrônicos,MG,1,2267.74,2267.74
2025-10-20,4092,Teclado,Eletrônicos,RS,4,1530.89,6123.56
2023-12-26,2233,Mouse,Eletrônicos,SP,4,4714.88,18859.52
2025-02-23,3395,Teclado,Eletrônicos,SC,4,4254.73,17018.92
2023-03-29,2301,Teclado,Eletrônicos,PR,3,3944.06,11832.18
2025-03-09,2411,Celular,Eletrônicos,BA,2,4426.59,8853.18
2023-05-06,4332,Mesa,Casa,PR,1,1623.35,1623.35
